Road,Road_encoded
Roscoe Boulevard,6777
Jones Road,4077
Gale Avenue,3268
Timber View Court,8099
Elm Avenue,2892
Leland Street,4461
Saddleback Road,6864
Oriole Court,5953
West Robinhood Drive,8891
Glenwood Drive,3391
John Street,4065
54th Street,106
North Pennsylvania Avenue,5660
Turnbull Canyon Road,8220
Duane Street,2275
Eastbrook Avenue,2755
Arboridge Court,432
North Sixth Street,5707
Claremore Lane,1675
Olema Bolinas Road,5894
Telegraph Avenue,8017
66th Street,121
West 7th Street,8646
Wildwood Drive,9033
Sweetbrier Court,7946
West 6th Street,8644
Quill Drive,6451
Monte Vista Avenue,5164
Loma Prieta Way,4594
East March Lane,2596
Marconi Avenue,4797
West Roderick Avenue,8892
El Amigo Road,2812
New Mc Kays Dam Road,5359
1st Street,41
Clarksburg Path,1689
Ronald Reagan Freeway,6763
North Creekside Drive,5497
Deerspring Trail,2115
Edgecliff Avenue,2777
Corte Via,1866
Cherry Avenue,1592
Holly Street,3813
High Street,3739
Clara Lee Avenue,1670
Scenic Lane,7075
Union Mine Road,8250
Firestone Boulevard,3116
Bishop Street,879
East 22nd Street,2338
North Bonnie Beach Place,5470
Arthur Road,488
Calle Joaquin,1276
Moura Lane,5271
Martin Luther King Junior Way,4854
Megan Court,4973
Ruth Lane,6839
San Diego Freeway,6929
West 5th Street,8638
Butler Street,1169
West Poppyfields Drive,8878
Westway Drive,8984
Mericrest Street,4995
East Bellevue Road,2413
West 77th Street,8645
Corsica Drive,1858
1st Street,41
Rock Ridge Terrace,6719
Isadora Drive,3976
Abram Court,161
McKinney Way,4933
Santa Clara Place,7013
Sherman Grove Avenue,7205
O Neill Street,5777
Freedom Court,3225
Lund Avenue,4696
West Canada,8699
South Harbor Boulevard,7486
Alta Vista Drive,322
Marmion Way,4838
Francisco Street,3212
Pepper Drive,6188
Rose Avenue,6778
Duryea Drive,2302
Slater Avenue,7311
Marlboro Court,4834
1st Street,41
Louise Avenue,4675
1st Street,41
Kilkenny Court,4184
Garnet Avenue,3297
Menalto Avenue,4984
Navy Road,5330
Ironwood Street,3968
West MacArthur Boulevard,8828
San Felipe Ct.,6933
Lafayette-Moraga Trail,4308
Tamarisk Drive,7987
Airdrome Street,209
Entryway 2,2935
Thelma Avenue,8061
Rancho Viejo Road,6501
Gray Avenue,3472
Old Lakeville Road Number 3,5867
Torres Avenue,8132
South Commercial Street,7431
Rouge Road,6798
Bambi,664
Needles Court,5337
Woodgrove Drive,9121
Lemoore Naval Air Station,4468
Barry Avenue,704
Freeman Court,3227
Ivy Lane,3985
Westwood Boulevard,8986
Sumac Road,7859
Lathrop Drive,4405
Wabash Avenue,8500
La Crescenta Avenue,4254
Live Oak Street,4559
Baldwin Street,658
Norfolk Street,5413
Browns Canyon Road,1096
1st Street,41
Edenhurst Avenue,2773
East Date Street,2481
1st Street,41
Light Street,4503
Fairvale Way,3014
East 5th Street,2355
Ascot Avenue,494
West Poplar Street,8877
West Laurel Street,8807
Chestnut Street,1608
1st Street,41
Oxnard Street,5992
Alpine Avenue,311
Cowper Street,1929
West Steele Lane,8923
Udall Street,8247
Broncho Road,1076
Rancho Road,6498
Everdale Drive,2983
West 227th Street,8613
Duray Place,2297
Los Padres Road,4658
Park Street,6077
Brook Street,1078
Hanover Drive,3588
West 3rd Street,8629
Crenshaw Boulevard,1959
87th Avenue,142
Este Vista Court,2961
Corte Morera,1863
Weigand Avenue,8578
Gladstone Avenue,3357
West 47th Place,8633
West 6th Street,8644
North Milpas Street,5624
Lathrop Drive,4405
Lidster Avenue,4499
Old Yerba Buena Road,5892
Arlington Avenue,455
Grove Shafter Freeway,3531
Intake Boulevard,3950
Western Avenue,8968
Iolani Court,3955
Sacramento Street,6861
Willow Brook Avenue,9045
Eaglesnest Place,2316
Woodman Avenue,9132
South Plymouth Boulevard,7589
Christmas Tree Place,1631
1st Street,41
South Trojan Street,7652
McKinney Way,4933
Valkyrie Way,8287
West 11th Street,8591
East Paseo el Mirador,2658
Beckington Lane,758
Wilcox Street,9021
Washburn Street,8542
Nutmeg Circle,5773
Begonia Circle,774
La Field Drive,4256
South Spruce Street,7631
North Ditman Avenue,5506
Cabrillo Drive,1215
Vail Avenue,8275
13th Avenue,17
Morrison Street,5218
James Lick Freeway,4007
Ronald Reagan Freeway,6763
Oak Terrace,5800
South Manchester Avenue,7542
San Ramon Avenue,6974
Oak Street,5799
Avenue 212,576
West Almora Street,8654
Oak Avenue,5784
West Lerdo Highway,8809
West 11th Street,8591
Cañada Boulevard,1500
Carnation Court,1425
Moorpark Street,5194
Huntington Street,3878
Dolphin Avenue,2222
Rocky Hill Road,6739
Daphne Avenue,2051
1st Street,41
Beatrice Road,750
Santa Ana Freeway,7005
West 65th Place,8641
Alley 87628,280
Rheem Avenue,6585
Sunland Street,7893
East Ralph Road,2678
Ryder Road,6844
Grangeville Boulevard,3457
134th Place,15
East Piru Street,2662
1st Street,41
Salsipuedes-Pajaro Cycleway,6898
La Milpita Road,4272
Virginia Road,8474
Neptune Avenue,5346
East Sierra Avenue,2707
Acre Street,178
Seaborn Street,7105
Haehl Creek Drive,3554
Circa Valle Verde,1649
Foster Truck Trail,3196
Via Picaposte,8406
East Roseburg Avenue,2692
Menlo Avenue,4989
Silas Lane Trail,7256
1st Street,41
Harbor Freeway,3597
Garfield Street,3294
Colorado Place,1780
Fifth Street,3097
La Plaza,4280
Casitas Bulevar,1468
Gamma Street,3277
Whittier Boulevard,9015
Thunderbird Lane,8089
Central Avenue,1527
Punkin Center Road,6428
Pacific Coast Highway,5999
Hummingbird Drive,3870
San Anselmo Way,6913
Colbath Avenue,1753
Willow Place,9051
West Cypress Street,8729
East Warren Avenue,2740
North Lima Street,5594
Rosemead Boulevard,6789
Empire Street,2922
Wildwood Court,9032
Auto Mall Parkway,541
Margaret Avenue,4801
East Mauretania Street,2603
East Beverly Boulevard,2419
Quill Drive,6451
7th Place,133
East Calbas Street,2438
Lassen Street,4403
Dunsmore Canyon Trail,2291
Rollins Drive,6756
Channel Drive,1554
North Lemon Avenue,5589
North Palm Drive,5651
Avenue 48,598
21st Court,47
Buchanan Street,1117
36th Avenue,79
Kern Street,4173
Geer Road,3317
Glenview Avenue,3389
Western Avenue,8968
Ridgeline Court,6618
West 58th Street,8637
West Avenue J,8671
Cole Street,1758
Cherokee Lane,1590
Quill Drive,6451
Central,1526
Shellyfield Road,7195
Southgate Avenue,7694
East Donner Avenue,2487
Mountain House Road,5258
Rheem Avenue,6585
I 80,3900
Francisquito Avenue,3213
Lexington Avenue,4491
Cerritos Avenue,1537
Moore Drive,5190
South Bedford Street,7390
1st Street,41
Sardis Avenue,7058
Long Beach Boulevard,4614
East Shields Avenue,2706
West 6th Street,8644
Edinger Avenue,2792
Cull Canyon Road,2000
Jesmond Dene Road,4043
Cleveland Avenue,1711
Isadora Drive,3976
Valencia Street,8282
Weigand Avenue,8578
Via Camino Avenue,8380
La Pradera,4282
G Street,3261
Martin Avenue,4849
1st Street,41
Joe Rodota Trail,4055
El Oso Way,2841
North Bartlett Avenue,5455
30th Street,67
Acacia Drive,164
Main Street,4751
Aguacate Court,203
North Bank Drive,5454
East Weber Avenue,2744
Gorgonio View Road,3433
Thunderbird Drive,8088
Carlota Street,1411
Sibert Street,7231
Via Lido Soud,8396
La Canada Way,4249
North Boden Drive,5467
Charlesworth Avenue,1577
Hawley Boulevard,3649
Cherokee Lane,1590
North Frederic Street,5537
Bayside Walk,732
Bittern Drive,881
Summer Avenue,7860
San Simeon Street,6979
O'neill Lane,5782
West Lodge Avenue,8817
Avenue 20,575
Verano Court,8345
Alicia Parkway,260
Fairmont Drive,3009
Scout Avenue,7098
Arvella Grigsby Place,490
1st Street,41
South Oakland Avenue,7570
Flower Street,3154
Avenue E,603
North Oakland Avenue,5642
Glencoe Avenue,3372
Lomas Cantadas,4602
Turtledove Avenue,8224
Talbot Drive,7976
Pellet Street,6174
East North Avenue,2629
North Palm Avenue,5650
College Avenue,1767
McKinney Way,4933
West 24th Street,8616
West Kettering Street,8798
Paradise Drive,6056
Chestnut Street,1608
Davison Drive,2077
East Constantine Road,2471
East 57th Street,2353
Trabuco Road,8150
Laguna Avenue,4311
Mission Rock Road,5125
Harlow Avenue,3610
Peach Blossom Street,6151
Riverside Drive,6662
South Riverside Avenue,7607
Carmen Court,1422
La Rochelle Drive,4288
West 166th Street,8602
Vineland Avenue,8464
Bedford Road,763
Temple Avenue,8023
Campus Drive,1362
West 166th Street,8602
Marlton Avenue,4837
Lagunitas Avenue,4317
Rashdall Avenue,6510
Altadena Crest Trail,324
Lake Haven Way,4326
Stevens Circle,7811
Fair Oaks Avenue,2995
Bellaire Avenue,786
Blackjack Way,891
Montelena Avenue,5172
Fairway Drive,3020
Sunbreeze Lane,7886
Civic Center Drive,1667
Fremont Boulevard,3233
Washburn Street,8542
East Avenue T 14,2400
Linda Vista Drive,4528
Keswick Street,4177
East Costner Street,2475
Kohata Lane,4229
South Burlington Avenue,7407
Middlebury Street,5040
Garnet Avenue,3297
40th Street,86
Sunset Avenue,7912
Santa Clara River Trail,7014
Pacific View Road,6006
West Avenue L 8,8673
Calistoga Avenue,1259
14th Avenue,21
Bradbourne Avenue,1010
Kansas Street,4120
Santa Florita Avenue,7026
55th Avenue,107
Annetta Avenue,391
Lakeshore Circle,4339
Santa Paula Drive,7039
13th Street,18
Clubhouse Drive,1730
La Pala Court,4276
East Andrews Avenue,2382
De Berry Street,2084
Grandview Avenue,3453
Dewey Street,2173
Benet Hill Road,798
East Bayshore Road,2408
Balancing Rock Trail,646
East Alden Street,2374
East 17th Street,2332
Country Trail,1895
Filhurst Avenue,3103
Pacific Coast Highway,5999
Martin Luther King Junior Boulevard,4852
Emerald Street,2910
Opportunity Street,5926
McKinney Way,4933
Moreno Valley Freeway,5203
Kempster Avenue,4157
1st Street,41
Elizabeth Avenue,2875
San Gabriel Boulevard,6941
West Sherman Circle,8912
Emerson Street,2913
Shortridge Avenue,7226
San Francisco Bay Trail,6939
Mohawk Road,5146
Via del Toro,8429
Tuscarora Court,8227
Bridge Road,1049
Mountain View Avenue,5262
40th Street,86
County Road 15,1901
Ygnacio Canal Trail,9182
Carlsbad Village Drive,1413
East Underwood Road,2731
East Laurel Street,2573
Borson Street,980
Elisa Drive,2873
Sandstone Road,7002
Nashville Avenue,5315
CA 37,1190
Quill Drive,6451
East Hobart Street,2546
West Telegraph Road,8935
Beelard Drive,771
Crocker Lane,1984
Rugged Trail,6825
Ort J. Lofthus Freeway,5964
Pruneridge Avenue,6418
Schabarum Trail,7079
Lorella Avenue,4634
South 10th Avenue,7351
West Bennett Avenue,8685
Calle Miramar,1285
North Teakwood Avenue,5720
Cedar Street,1509
East Bayshore Road,2408
McKinney Way,4933
1st Street,41
Dougherty Valley Ridge Trail,2250
Verdura Avenue,8352
Pavilion Drive,6145
Gemini Avenue,3318
Hygeia Avenue,3894
Encinal Avenue,2926
East Martin Luther King Junior Boulevard,2602
Rio Hondo Bike Path,6637
Lassen Court,4402
Tulip Court,8208
Monterey Road,5178
Seaborn Street,7105
Coral Lane,1833
Senador Mine Trail,7124
Strap Miner Trail,7841
Tradewinds Drive,8155
Saipan Drive,6886
Liberty Boulevard,4494
Highway 299,3752
Brentwood Lane,1040
Cedar Street,1509
Alley 84438,278
Farm Road,3044
East Park Street,2655
Park Street,6077
Silverado Trail,7263
Bonnie Lynn Way,971
Donerail Drive,2231
Park Avenue,6066
South La Cienega Boulevard,7517
South Street,7638
Edison Street,2795
Chapala Street,1557
Rench Road,6571
Hermosa Drive,3703
South Sunkist Street,7640
Carfax Avenue,1407
South Grand Avenue,7479
Selma Avenue,7119
1st Street,41
Woods Valley Road,9141
South Thompson Avenue,7647
Dowlen Drive,2259
West Jensen Avenue,8793
Blue Gum Road,916
Amanda Drive,337
Keswick Street,4177
Estaban Drive,2957
1st Street,41
Alemany Boulevard,243
South Lewis Lane,7527
Mesa Drive,5009
West 146th Street,8597
Orchard Avenue,5941
West Slauson Avenue,8918
West Sierra Avenue,8917
Jim Drive,4048
Coleford Street,1759
Brea Boulevard,1031
Nomwaket Road,5406
North D Street,5500
William Avenue,9036
East Garibaldi Avenue,2517
Wayne Place,8568
Bunker Street,1143
Lakeport Drive,4336
Laurelei Avenue,4421
2nd Avenue,64
North Lime Street,5595
Park Boulevard,6067
County of Orange Flood Section,1915
Quill Drive,6451
East Bridger Avenue,2426
Pershing Avenue,6200
Blackhawk Drive,890
Dorsey Way,2244
Stewart Road,7815
Jones Lane,4076
2nd Street,65
I-15 Express Lanes,3903
Bradley Avenue,1014
Malcolm Drive,4758
South Walnut Avenue,7668
CA 20,1185
Calvert Street,1307
Milton Avenue,5077
1st Street,41
J Street,3987
Mantova Drive,4782
Via Bolsa,8378
Athens Street,516
Williams Road,9039
Florida Street,3151
Bernstein Lane,822
Lochridge Drive,4572
West Mill Street,8847
Wayne Place,8568
West 115th Street,8590
Pennsylvania Avenue,6182
Blue Court,912
Rood Street,6765
Tully Road,8210
1st Street,41
Live Oak Avenue,4556
South Mollison Avenue,7556
23rd Avenue,52
Bluefield Plaza,932
Quill Drive,6451
19th Street,39
Sunrise Avenue,7905
Monte Vista Drive,5165
North Olive Avenue,5645
West 4th Street,8636
Cypress Avenue,2019
Oxnard Street,5992
Bethany Road,830
US 50,8245
Lime Kiln Road,4513
Avenue 432,596
South San Lorenzo Avenue,7613
Deerweed,2116
Columbus Avenue,1788
Santa Ana Freeway,7005
East 7th Avenue,2364
Vaseline alley,8330
Santa Ana Freeway,7005
Columbus Avenue,1788
East Huntington Boulevard,2550
Costeau Street,1877
North la Brucherie Road,5749
Pierino Avenue,6226
Quill Drive,6451
Ellison Drive,2891
Francis Court,3211
Main Street,4751
Big Oak Circle,855
West Whittier Boulevard,8957
Quapaw Avenue,6441
MacArthur Boulevard,4721
Canfield Road,1379
Valley Circle Boulevard,8297
1st Street,41
Felder Road,3074
West 64th Place,8639
Chamberlain Avenue,1549
York Avenue,9187
Four Seasons Place,3199
West Maple Avenue,8836
Caliente Drive,1248
South Imperial Avenue,7504
Martin Luther King Junior Way,4854
17 Mile Drive,33
1st Street,41
McKinney Way,4933
Lewis Road,4488
Mountain Ranch Road,5259
Muir Road,5275
Old Oleander Avenue,5871
Memorial Lane,4982
Harbour Way South,3599
Pacheco Street,5996
Market Street,4830
Matoza Lane,4876
Crest Forest Drive,1969
Comstock Road,1799
Bowcroft Street,993
Sale Avenue,6889
William Drive,9037
East North Avenue,2629
East N Street,2620
McDaniel Avenue,4922
Magnolia Avenue,4742
34th Street,75
1st Street,41
Jamacha Road,4004
Orange Grove Avenue,5933
Fillmore Street,3106
Wheeler Nursery Road,8993
Donerail Drive,2231
Justa Road,4112
South Clovis Avenue,7428
The Vineyards Access,8059
Bryant Avenue,1109
Mc Kinley Street,4900
Graham Street,3445
Brougham Road,1088
West Avenue 136,8665
Hermosa Drive,3703
East 106th Street,2319
North Armstrong Avenue,5443
73rd Street,130
Madera Avenue,4728
Star Lane,7780
Southside Drive,7697
Exeter Street,2991
Mason Avenue,4867
Crescent Street,1962
Oak Point Place,5795
Parkcrest Street,6084
7th Place,133
Forbes Avenue,3170
Alpine Avenue,311
University Avenue,8257
Redwood Road,6556
Wilder Road,9030
North Laspina Street,5584
Eureka Drive,2979
Highland Avenue,3743
Pearl Place South,6159
Strozier Avenue,7849
Pasadena Avenue,6109
Tamalpais Avenue,7982
Saint Clair Avenue,6877
Jim Porter Parkway,4049
McKinney Way,4933
Irvine Avenue,3969
North School Street,5700
Anza Drive,401
Via Lido Soud,8396
Elliott Drive,2889
West 65th Place,8641
Avenue Granada,604
Sundale Avenue,7887
Via Barranca,8374
1st Street,41
1st Street,41
Coronado Avenue,1847
Auto Mall Drive,540
Norris Avenue,5422
Holly Avenue,3807
Edinger Avenue,2792
Frost Lane,3248
1st Street,41
Berkshire Road,814
Coventry Lane,1919
Telephone Road,8020
Aspen Street,508
Laurel Avenue,4413
Saint Marys Avenue,6884
North Arroyo Boulevard,5445
Doe Lane,2209
Sand Canyon Avenue,6990
Moreno Valley Freeway,5203
Winchester Boulevard,9066
Chestnut Street,1608
Davis Road,2075
Curved Bridge Road,2015
Circle Road,1653
2nd Street,65
Road 31,6689
North Fuller Avenue,5539
North Larkin Drive,5583
Golden West Avenue,3416
Old Foothill Boulevard,5864
Morrison Street,5218
Magnolia Lane,4743
Hamilton Avenue,3576
Canterbury Drive,1382
Cabrillo Avenue,1214
Dixon Road,2199
Escalon Fire Road,2945
Bridgeport,1050
1st Street,41
Valley Boulevard,8295
Willings Way,9042
Boyce Avenue,1000
Crestview Drive,1975
Avenorra Drive,562
B Street,621
Alemany Boulevard,243
East Lindo Avenue,2581
South Olive Avenue,7572
Oak Run Road,5798
West 135th Street,8596
Glen Alpine Road,3364
Bowling Green Drive,997
Main Street,4751
McKinney Way,4933
East Brighton Avenue,2428
Santa Ana Freeway,7005
South Bedford Street,7390
1st Street,41
O Street,5778
Ceanothus Avenue,1502
North Lyman Avenue,5602
West Porter Avenue,8879
Village Drive,8450
9th Street,149
La Venta Drive,4295
Larch Avenue,4373
Central Avenue,1527
Via Belota,8376
Isadora Drive,3976
Cowley Way,1928
Apple Colony Road,409
De Soto Avenue,2088
Roosevelt Avenue,6766
Center Street,1522
Cox Road,1930
Calmosa Avenue,1306
Great Western Divide Highway,3480
Trail Street,8160
1st Street,41
Lewis Avenue,4486
Park Avenue,6066
Annik Drive,392
West Hatch Road,8776
Earhart Avenue,2317
North Myrtle Drive,5635
Ramona Lane,6487
1st Street,41
East North Avenue,2629
1st Street,41
East Chestnut Street,2459
Hamilton Avenue,3576
Talbot Drive,7976
East Orangethorpe Avenue,2646
Elm Street,2893
Mc Bob Road,4895
Greenwich Street,3510
Siesta Avenue,7253
Wiseburn Walking Path,9099
14th Street,22
Liberty Boulevard,4494
South Towner Street,7650
Jayhawk Drive,4022
Sherwood Boulevard,7210
Glendale Boulevard,3376
Fremont Street,3234
West 77th Street,8645
1st Street,41
2nd Street,65
Franquette Avenue,3218
El Fuerte Street,2834
Riata Street,6591
Zurich Circle,9211
South Washington Street,7669
North Sycamore Road,5718
South Margie Lane,7546
Colusa Street,1790
High Avenue,3735
Seminole Way,7122
Howard Road,3851
East Princeton Avenue,2672
Haywood Street Clay Street Alley,3659
Wayne Place,8568
Bryan Avenue,1108
Vista del Monte Way,8490
Stimel Drive,7818
McKnight Drive,4936
Alford Street,251
Canyon View Drive,1392
Oakdale Drive,5808
CA 111,1178
Van Ness Avenue,8317
Houghton Avenue,3847
Victoria Hill Drive,8438
West Sunset Boulevard,8929
North Sweetzer Avenue,5717
Oakdale Street,5809
1st Street,41
Lancey Drive,4358
Cinnabar Court,1647
Shoal Court,7214
Park View Avenue,6078
Royalbrook Court,6817
2nd Avenue,64
West Phillips Street,8870
West F Street,8743
Rosewood Avenue,6791
Cataluna Circle,1490
West Porter Avenue,8879
North Lyman Avenue,5602
Robertson Avenue,6703
1st Street,41
Almaden Expressway,300
East 10th Street,2320
Augusta Court,535
1st Street,41
Pulsar Avenue,6425
1st Street,41
Howard Street,3852
North Fig Street,5526
Orchard Lane,5944
Hendrix Avenue,3697
Quill Drive,6451
North Oro Avenue,5648
CA 77,1197
Blucher Avenue,911
North West Street,5735
Cutler Avenue,2017
Ironwood Road,3967
East Valley Parkway,2733
CA 160,1182
Steelhead Avenue,7795
Onley Drive,5917
Woodspring,9145
Elsworth Street,2898
35th Avenue,77
Martin Avenue,4849
West 17th Street,8605
Blue Lake South,920
Feather River Highway,3068
Coronado Avenue,1847
3rd Street,84
Martin Luther King Junior Freeway,4853
East 106th Street,2319
San Carlos Street,6924
West Industrial Avenue,8786
East Mauretania Street,2603
Channel Path,1555
Harrison Avenue,3621
Firestone Boulevard,3116
Hazelnut Avenue,3663
East Terrace Way,2723
Tamarisk,7986
East Chestnut Street,2459
Del Monte Drive,2126
International Boulevard,3952
Millrace Avenue,5073
Lake Avenue,4324
Miner Street,5085
Winding Creek Road,9077
Fairfield Street,3001
Sandling Avenue,6996
1st Street,41
North State College Boulevard,5710
Smoke Tree Road,7325
East Commonwealth Avenue,2469
East Commercial Street,2468
Via Tomas Drive,8414
Hondo Ranch Road,3826
East Alaska Street,2373
Rio Road,6639
Alley 85949,279
Parkdale Place,6085
Arlington Boulevard,456
Betty Avenue,832
Krishna Drive,4236
G Street,3261
Cayuga Street,1499
West Avenue 42,8669
1st Street,41
Alley 79751,272
Del Rosa Avenue,2137
Cadillac Drive,1222
San Miguel Street,6969
Guadalupe Freeway,3536
